node_index,split_feature_indx,split_feature,threshold,decision_type,left_child,right_child,leaf_value,thres_vis,condition,conditions,2024-05-11,2024-05-12,ratio
0,9,user_id,105||129||140||193||276||314||393||401,==,1,2,,"['bg2489089686', 'bg2945274666', 'bg3044407314', 'bg4047154929', 'bg5351816920', 'bg5952624426', 'bg7373977045', 'bg7586543808']","user_id in [""bg2489089686"", ""bg2945274666"", ""bg3044407314"", ""bg4047154929"", ""bg5351816920"", ""bg5952624426"", ""bg7373977045"", ""bg7586543808""]",,42358711.654729605,20084696.970352337,1.0
1,8,dt,0,==,3,4,,['2024-05-11'],"dt in [""2024-05-11""]","user_id in [""bg2489089686"", ""bg2945274666"", ""bg3044407314"", ""bg4047154929"", ""bg5351816920"", ""bg5952624426"", ""bg7373977045"", ""bg7586543808""]",35754072.4382,16163854.8955,0.8795099500603429
2,0,symbol_id,11||33||51||78,==,5,6,,"['ALGOUSDT_UMCBL', 'BTCUSDT_UMCBL', 'ETHUSDT_UMCBL', 'LINKUSDT_UMCBL']","symbol_id in [""ALGOUSDT_UMCBL"", ""BTCUSDT_UMCBL"", ""ETHUSDT_UMCBL"", ""LINKUSDT_UMCBL""]","~(user_id in [""bg2489089686"", ""bg2945274666"", ""bg3044407314"", ""bg4047154929"", ""bg5351816920"", ""bg5952624426"", ""bg7373977045"", ""bg7586543808""])",6604639.2165296,3920842.07485234,0.12049004993965655
3,9,user_id,105||140,==,7,8,,"['bg2489089686', 'bg3044407314']","user_id in [""bg2489089686"", ""bg3044407314""]","user_id in [""bg2489089686"", ""bg2945274666"", ""bg3044407314"", ""bg4047154929"", ""bg5351816920"", ""bg5952624426"", ""bg7373977045"", ""bg7586543808""] & dt in [""2024-05-11""]",35754072.4382,0.0,1.6051921014166108
4.0,,,,,,,25788.904626091324,,,"user_id in [""bg2489089686"", ""bg2945274666"", ""bg3044407314"", ""bg4047154929"", ""bg5351816920"", ""bg5952624426"", ""bg7373977045"", ""bg7586543808""] & ~(dt in [""2024-05-11""])",0.0,16163854.8955,-0.725682151356268
5,9,user_id,202||527,==,11,12,,"['bg4200758748', 'bg9732912929']","user_id in [""bg4200758748"", ""bg9732912929""]","~(user_id in [""bg2489089686"", ""bg2945274666"", ""bg3044407314"", ""bg4047154929"", ""bg5351816920"", ""bg5952624426"", ""bg7373977045"", ""bg7586543808""]) & symbol_id in [""ALGOUSDT_UMCBL"", ""BTCUSDT_UMCBL"", ""ETHUSDT_UMCBL"", ""LINKUSDT_UMCBL""]",4078544.8312,1983763.0908000001,0.09404598901828215
6,7,new_future,1.0000000180025095e-35,<=,13,14,,,new_future <= 1.0000000180025095e-35,"~(user_id in [""bg2489089686"", ""bg2945274666"", ""bg3044407314"", ""bg4047154929"", ""bg5351816920"", ""bg5952624426"", ""bg7373977045"", ""bg7586543808""]) & ~(symbol_id in [""ALGOUSDT_UMCBL"", ""BTCUSDT_UMCBL"", ""ETHUSDT_UMCBL"", ""LINKUSDT_UMCBL""])",2526094.3853296004,1937078.98405234,0.0264440609213744
7.0,,,,,,,41040.90152211449,,,"user_id in [""bg2489089686"", ""bg2945274666"", ""bg3044407314"", ""bg4047154929"", ""bg5351816920"", ""bg5952624426"", ""bg7373977045"", ""bg7586543808""] & dt in [""2024-05-11""] & user_id in [""bg2489089686"", ""bg3044407314""]",26735934.7768,0.0,1.2003195272898994
8.0,,,,,,,24770.849189748435,,,"user_id in [""bg2489089686"", ""bg2945274666"", ""bg3044407314"", ""bg4047154929"", ""bg5351816920"", ""bg5952624426"", ""bg7373977045"", ""bg7586543808""] & dt in [""2024-05-11""] & ~(user_id in [""bg2489089686"", ""bg3044407314""])",9018137.661400001,0.0,0.40487257412671174
11,8,dt,0,==,23,24,,['2024-05-11'],"dt in [""2024-05-11""]","~(user_id in [""bg2489089686"", ""bg2945274666"", ""bg3044407314"", ""bg4047154929"", ""bg5351816920"", ""bg5952624426"", ""bg7373977045"", ""bg7586543808""]) & symbol_id in [""ALGOUSDT_UMCBL"", ""BTCUSDT_UMCBL"", ""ETHUSDT_UMCBL"", ""LINKUSDT_UMCBL""] & user_id in [""bg4200758748"", ""bg9732912929""]",3395622.417200001,1621693.369,0.0796411905683179
12,2,language,18||19,==,25,26,,"['zh', 'zh_tw']","language in [""zh"", ""zh_tw""]","~(user_id in [""bg2489089686"", ""bg2945274666"", ""bg3044407314"", ""bg4047154929"", ""bg5351816920"", ""bg5952624426"", ""bg7373977045"", ""bg7586543808""]) & symbol_id in [""ALGOUSDT_UMCBL"", ""BTCUSDT_UMCBL"", ""ETHUSDT_UMCBL"", ""LINKUSDT_UMCBL""] & ~(user_id in [""bg4200758748"", ""bg9732912929""])",682922.4140000001,362069.7218,0.014404798449964317
